text,rate
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
they are least concerned about their sercive,2
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
service was not at all good,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
displeased with service,1
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was excellent,5
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was not good,2
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was good,4
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was bad,1
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
the service of the customer was average,3
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
 Outstanding service was given,5
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
something I really appreciate about service,3
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent  service,5
Excellent service,5
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
great service,4
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
 Fantastic service,5
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
service was better,3
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Worst service of all time i have received,1
Pretty good service I liked it,4
Pretty good service I liked it,4
Pretty good service I liked it,4
Pretty good service I liked it,4
Pretty good service I liked it,4
average service,2
average service,2
average service,2
average service,2
average service,2
average service,2
ok ok service can be improved,3
ok ok service can be improved,3
ok ok service can be improved,3
ok ok service can be improved,3
could have been improved,3
spot on service,5
spot on service,5
spot on service,5
spot on service,5
spot on service,5
very professional like service which is really good,4
very professional like service which is really good,4
very professional like service which is really good,4
very professional like service which is really good,4
very unprofessional like and its very bad don't waste money,1
very unprofessional like and its very bad don't waste money,1
very unprofessional like and its very bad don't waste money,1
very unprofessional like and its very bad don't waste money,1
very unprofessional like and its very bad don't waste money,1
Decent service,3
Decent service,3
Decent service,3
Decent service,3

"The product does exactly as it should and is quite affordable.I did not realized it was double screened until it arrived, so it was even better than I had expected.As an added bonus, one of the screens carries a small hint of the smell of an old grape candy I used to buy, so for reminiscent's sake, I cannot stop putting the pop filter next to my nose and smelling it after recording. :DIf you needed a pop filter, this will work just as well as the expensive ones, and it may even come with a pleasing aroma like mine did!Buy this product! :]",5
"The primary job of this device is to block the breath that would otherwise produce a popping sound, while allowing your voice to pass through with no noticeable reduction of volume or high frequencies. The double cloth filter blocks the pops and lets the voice through with no coloration. The metal clamp mount attaches to the mike stand secure enough to keep it attached. The goose neck needs a little coaxing to stay where you put it.",5
Nice windscreen protects my MXL mic and prevents pops. Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.,5
This pop filter is great. It looks and performs like a studio filter. If you're recording vocals this will eliminate the pops that gets recorded when you sing.,5
"So good that I bought another one. Love the heavy cord and gold connectors. Bass sounds great. I just learned last night how to coil them up. I guess I should read instructions more carefully. But no harm done, still works great!",5
"I have used monster cables for years, and with good reason. The lifetime warranty is worth the price alone. Simple fact: cables break, but getting to replace them at no cost is where it's at.",5
I now use this cable to run from the output of my pedal chain to the input of my Fender Amp. After I bought Monster Cable to hook up my pedal board I thought I would try another one and update my guitar. I had been using a high end Planet Waves cable that I bought in the 1980's... Once I found out the input jacks on the new Monster cable didn't fit into the Fender Strat jack I was a little disappointed... I didn't return it and as stated I use it for the output on the pedal board. Save your money... I went back to my Planet Waves Cable...I payed $30.00 back in the eighties for the Planet Waves which now comes in at around $50.00. What I'm getting at is you get what you pay for. I thought Waves was a lot of money back in the day...but I haven't bought a guitar cable since this one...20 plus years and still working...Planet Waves wins.,3
Perfect for my Epiphone Sheraton II. Monster cables are well constructed. I have several and never had any problems with any of them over the years. Got this one because I wanted the 90 degree plug.,5
Monster makes the best cables and a lifetime warranty doesnt hurt either. This isnt their top of the line series but it works great with my bass guitar rig and has for some time. You cant go wrong with Monster Cables.,5
"Monster makes a wide array of cables, including some that are very high end. I initially purchased a pair ofMonster Rock Instrument Cable - 21 Feet - Angled to Straight 1/4-Inch plugto use with my keyboards, but when it came time to purchase cables for my bass and guitar I thought I'd pinch a few pennies. I am so glad I did.I compared this cable model to the more expensive models I previously purchased and, aside from looks, could not detect any difference in sound. I Swapped back and forth between my guitars and keyboards, ensuring that each model was used on each instrument - still no difference.What the more expensive model has going for it is looks. I am not sure it (the higher priced model) is even more sturdy because the molded stress relief ends on this model seem to make it more reliable than its pricier sibling.Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision. You may find, as I did, that higher price does not necessarily equal higher value, even from the same manufacturer.",5
I got it to have it if I needed it. I have found that i don't really need it that often and rarely use it. If I was really good I can see the need. But this is a keyboard not an organ.,4
"If you are not use to using a large sustaining pedal while playing the piano, it may appear little awkward.",3
"I love it, I used this for my Yamaha ypt-230 and it works great, I would recommend it to anyone",5
I bought this to use in my home studio to control my midi keyboard. It does just what I wanted it to do.,5
"I bought this to use with my keyboard. I wasn't really aware that there were other options for keyboard pedals. It doesn't work as smoothly as the pedals do on an acoustic piano, which is what I'd always used. Doesn't have the same feel either. Nowhere close.In my opinion, a sustain pedal like the M-Audio SP-2 Sustain Pedal with Piano Style Action or other similar pedal is a much better choice. The price difference is only a few dollars and the feel and action are so much better. The only thing I've found the Yamaha FC-5 Sustain Pedal is good for is taking up space in a drawer where I keep my electric guitar pedals.",2
"This Fender cable is the perfect length for me! Sometimes I find it a bit too long but I don't mind. The build quality is great and I know that it will last. The only gripe I have with this cable is that the metal sleeve gets unscrewed way too easily, requiring me to tighten it often.Sound quality is not affected, and the color is cool, definitely try this cable out.",4
wanted it just on looks alone...It is a nice looking cord... I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me... I love Sam Ash.. thanks Amazon,5
"I've been using these cables for more than 4 months and they are holding up pretty well. For years I used seemingly indestructable guitar cables that were made for me by an electrician friend. When they finally gave out, I got in the habit of using the no-name cables that are always on display near the register at Guitar Center- really more of an impulse buy than something I put any thought into. After the third or fourth Guitar Center cable failed from light use I decided to try these cables. Not only are they cheaper but they seem to be holding up better. I am not terribly hard on my gear but my cables tend to get twisted as I move around and the cheaper ones eventually fail mid-cable. I don't mind spending a few extra dollars if the cable is a little more durable. This cable is actually cheaper- $12 or so shipped- and it's holding up pretty well. These are actually very reasonably priced for 18' cables. There is some kind of limited life warantee on this product but I haven't needed it. Five stars for a nicely made 18 foot guitar cable that costs $12 shipped!Incidentally- these cables are shielded and are meant to connect your instrument to your amp's input. Do not use these to connect an amplifier to a speaker cab. You want to use unshielded cables for that purpose.Edit- More than 6 months has passed and this cable is functioning without any issues. The price on these things has gone up significantly and although the cable is highly recommended, there are probably better values from Hosa, Monster or Planet Waves-",5
Fender cords look great and work just as well. By adding the word California to the description I'm sure to sound like the Beach Boys...,5
"This is a cool looking cheap cable which works well. I bent one of the connectors pretty badly but that was my fault. One thing to consider with the cable is to tighten the connectors once in awhile. You'll be able to hear them rattle. It seems that the 'retro' look is screw on connectors over some black rubber, but other than that, the cable looks cool and works well.I also have the shorter red cable which goes with one of my guitars perfectly. I bought theses to use while practicing with others who use black cables. It's easier to plug into different amps without cutting someone out by accident. The green cable is good for that.",4
The Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue is a very good extra cord for a good price.,5
Very good cable. Well made and it looks great with my Candy Apple Red Tele. The reason I gave it only 4 stars is because it tends not to lay flat on the floor.,4
"Got this cable to run a rockband keyboard controller to my M-audio profire 2626 to control midi in Pro Tools. Works great! Firm fit, solidly molded ends, reputable branded cable.(a bit on the thin side, but i haven't seen to have any issue due to this or anything. Couldn't go wrong for $5 at the time of my purchase and prime eligibility.",5
"When I was searching for MIDI cables for my ART X-15 foot controller, I came across these Hosa ones, and they were $2 dollars each! As they are now $6, I realize I would still be happy with that price as well, as they are high quality plastic and metal connectors, and work flawlessly. You must realize that they are only 5 feet, as I overestimated it and now wish they were longer. For any connection from racked sound modules, this will be perfect.",5
Cant go wrong. Great quality on a budget price - Hosa is the go to when you need to hook things up,4
"The ends of the midi cable look and feel like quality. Connection is secure, no worries about uneven connections, it also detaches without a hitch. Highly recommended.",5
"Just trying to find a midi to midi was a task, and you have to make sure the pin config is correct. This one is a good product and works just fine",5
The Hosa XLR cables are affordable and very heavily made.I have a large mixer and rack and cables everywhere.I decided to purchase shorter cables and the Hosa cables 5ft measurement worked perfectly.You really will not be disappointed with these.,4
I bought these to go from my board to the amp. We use them for a mobile church so they take a beating. They are still going strong.,5
"Sturdy cord and plugs, inexpensive, good value. I don't require professional-level equipment, so this cord serves my purposes well. Satisfied with purchase.",5
"Use it every week at gigs. Solid, no problems with the solder joints. A good quality cable at a very good price.",5
"Hosa products are a good bang for the buck. I haven't looked up the specifications, but I'm guessing the wire is 22 to 24 AWG, but since it's only 10' long, it's good enough.",4
This was exactly what I was after. I have a voice touch and needed a small cord to connect the mic to the voice touch and this was perfect. Before I used a 20 foot cord to go about 12 inches. I highly recommend this for those who keep the mic on a stand and have a voice touch or other stand connected device for vocals.,5
I bought these because I really had too long of mike cords for my solo live show. And these are really nice cords if you have a home portastudio recording studio like myself. Who needs all the spaghetti to trip on all over the place? I bought two because I use a Digitech Live 2 Harmony processor and two XLR mike cords are required to make it operational. Good price here too. Hard to find just 10' mike cords. Usually longer ones are only obtainable.,5
This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as much as the vocal mics always do.,4
"These are not the greatest but they're cheap and they get to you fast when you need them. I've only had one fail and I've bought many of them to use in our broadcast studio.Amazon is the first place I go when I need cables for audio, video, computers or concert lighting.Good music to all!",4
"This is a fine cable at a decent price point, nothing exceptional mind, but it gets the job done well enough.",4
"I've used a lot of cables and I always come back to HOSA, they are indeed some of the best audio cables in their price range on the market.",5
"I bought this cord after returning a cheap one that I should've known better than to buy. My son, who has some experience as a musician recommended the Hosa brand when I was seeking a proper replacement.I bought it for a small home recording setup which includes a Behringer C-1 Condenser Microphone and a Behringer Xenyx 302 Mixer, and both ends make a reliable connection to both the board and the mic; the sound quality is excellent.An excellent value for the money.",4
"Nice solid cables, with excellent support at the ends. Should last a lifetime of usage no problem and just what I needed to connect my tube preamp.",5
Good quality cable and sounds very good,5
"Zero issues with this cable so far. It feels fairly cheap and light weight but it has survived for months of plugging in, unplugging, and packing between practice spaces.I'll update this review if/when it breaks.",5
Realtively inexpensive patch cable for electric guitar.I have had it for a few months and so far it has held up pretty well,5
